framework,run,file,cpu,memory,cmd_vel_frequency,obstacle_distance,distance_travelled
EasyNav,1,benchmark_easynav_1.csv,24.41906466725044,116.42030823117338,49.50396891418564,0.5393476733977173,141.335
EasyNav,2,benchmark_easynav_2.csv,26.32924468478261,116.0631491304348,48.304194956521734,0.5375095652173912,142.665
EasyNav,3,benchmark_easynav_3.csv,22.988919042968753,114.71097482638889,49.96934869791667,0.5535507812499999,141.898
EasyNav,4,benchmark_easynav_4.csv,25.63960727391874,116.30765050240282,48.75282826561817,0.552865880297073,141.683
EasyNav,5,benchmark_easynav_5.csv,26.276334037711315,115.84329865626354,48.202205591677505,0.5520213228894691,142.498
EasyNav,6,benchmark_easynav_6.csv,24.46217673808483,116.16587013554874,49.60649676432008,0.5638303454306951,142.611
EasyNav,7,benchmark_easynav_7.csv,22.288572673136304,114.77487119541243,49.979257388619324,0.565067490074989,141.564
EasyNav,8,benchmark_easynav_8.csv,23.866712467306016,115.9944058413252,49.844654925893636,0.5725004359197907,143.338
EasyNav,9,benchmark_easynav_9.csv,23.71054023609885,116.08435878199471,49.94815591350397,0.569759185480301,141.749
EasyNav,10,benchmark_easynav_10.csv,23.80245751740644,115.93256483899044,49.94233903394256,0.5685897771952818,142.99
Nav2,1,benchmark_nav2_1.csv,37.7652695911414,190.13504642248725,17.737964778534923,0.44352512776831343,131.517
Nav2,2,benchmark_nav2_2.csv,35.409498413705585,190.9793274111675,18.864544162436548,0.4201226734348562,132.217
Nav2,3,benchmark_nav2_3.csv,36.45756725604297,190.26138630259626,18.278279185317814,0.4477072515666965,132.075
Nav2,4,benchmark_nav2_4.csv,37.47998945981555,189.7053812033377,17.629670487483533,0.45016161616161615,131.511
Nav2,5,benchmark_nav2_5.csv,38.984467796610176,190.15231059322034,17.00505050847458,0.448921186440678,132.294
Nav2,6,benchmark_nav2_6.csv,35.332993878443375,190.28576038478354,18.19992403585483,0.44816965456930474,132.045
Nav2,7,benchmark_nav2_7.csv,33.96553607904085,188.4522686500888,17.525769893428066,0.4638792184724689,131.928
Nav2,8,benchmark_nav2_8.csv,36.84837381465517,190.15663663793103,17.108648663793105,0.466473275862069,133.034
Nav2,9,benchmark_nav2_9.csv,33.309429522400684,189.72228613693997,19.078228191039727,0.463702451394759,132.322
Nav2,10,benchmark_nav2_10.csv,34.52908801131419,189.71311662315054,19.649868798955612,0.45954917319408173,131.989
